ID	Old ID	Enzymes	Roles	Reaction
PS_complex_b22625	rxn00414_d_A	Carbamoyl-phosphate synthase	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)|Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	rxn00414_d
PS_complex_6113a1	rxn00533_c_A	Acetyl-CoA carboxylase	Biotin carboxylase domain of homomeric ACCase (EC 6.3.4.14)|Acetyl-coenzyme A carboxyl transferase domain of homomeric ACCase (EC 6.4.1.2)|Biotin carboxyl carrier domain of homomeric Acetyl-CoA carboxylase	rxn00533_c
PS_complex_0e5260	rxn00533_d_A	Acetyl-CoA carboxylase	Biotin carboxylase domain of homomeric ACCase (EC 6.3.4.14)|Acetyl-coenzyme A carboxyl transferase domain of homomeric ACCase (EC 6.4.1.2)|Biotin carboxyl carrier domain of homomeric Acetyl-CoA carboxylase	rxn00533_d
PS_complex_0aaf18	rxn00533_d_B	Acetyl-CoA carboxylase	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)|Biotin carboxyl carrier protein of acetyl-CoA carboxylase|Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)|Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	rxn00533_d
PS_complex_2d2fb9	rxn00686_c_A	Dihydrofolate reductase	Dihydrofolate reductase (EC 1.5.1.3)	rxn00686_c
PS_complex_8d2706	rxn00686_m_A	Dihydrofolate reductase	Dihydrofolate reductase (EC 1.5.1.3)	rxn00686_m
PS_complex_e7f73e	rxn00692_c_A	Serine hydroxymethyltransferase	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692_c
PS_complex_093849	rxn00692_d_A	Serine hydroxymethyltransferase	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692_d
PS_complex_c4e130	rxn00692_m_A	Serine hydroxymethyltransferase	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692_m
PS_complex_e0abcc	rxn00781_c_A	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn00781_c
PS_complex_e1018c	rxn00781_d_A	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn00781_d
PS_complex_e1018c	rxn00781_d_B	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn00781_d
PS_complex_3e5282	rxn00781_m_A	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn00781_m
PS_complex_89f6b4	rxn00781_n_A	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	rxn00781_n
PS_complex_1d709c	rxn00782_d_A	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase	NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)	rxn00782_d
PS_complex_f7cf70	rxn00782_d_FX	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn00782_d
PS_complex_b2e4af	rxn00832_d_A	IMP cyclohydrolase	IMP cyclohydrolase (EC 3.5.4.10)	rxn00832_d
PS_complex_86ed46	rxn00863_d_A	Histidinol dehydrogenase	Histidinol dehydrogenase (EC 1.1.1.23)	rxn00863_d
PS_complex_29e54d	rxn00899_d_FX	Branched-chain alpha-keto acid dehydrogenase	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	rxn00899_d
PS_complex_a6aac6	rxn00899_m_A	Branched-chain alpha-keto acid dehydrogenase	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)|Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)|Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)|Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	rxn00899_m
PS_complex_29d92b	rxn00907_c_A	Methylenetetrahydrofolate dehydrogenase (NADP+)	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	rxn00907_c
PS_complex_53348f	rxn00907_d_A	Methylenetetrahydrofolate dehydrogenase (NADP+)	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	rxn00907_d
PS_complex_669ac7	rxn00907_m_A	Methylenetetrahydrofolate dehydrogenase (NADP+)	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	rxn00907_m
PS_complex_fe600e	rxn00908_m_A	Aminomethyltransferase|Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)|Dihydrolipoamide dehydrogenase of glycine cleavage system, L protein (EC 1.8.1.4)|Glycine cleavage system H protein|Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	rxn00908_m
PS_complex_2f2aec	rxn01111_d_A	Phosphoribulokinase	Phosphoribulokinase (EC 2.7.1.19)	rxn01111_d
PS_complex_399bd1	rxn01111_d_FX	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	Protein CP12, regulation of Calvin cycle via association/dissociation of PRK/CP12/GAPDH complex	rxn01111_d
PS_complex_c61530	rxn01207_d_RX	Branched-chain alpha-keto acid dehydrogenase	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	rxn01207_d
PS_complex_784211	rxn01207_m_A	Branched-chain alpha-keto acid dehydrogenase	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)|Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)|Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)|Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	rxn01207_m
PS_complex_9a4966	rxn01211_c_A	Methenyltetrahydrofolate cyclohydrolase	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	rxn01211_c
PS_complex_9cffe8	rxn01211_d_A	Methenyltetrahydrofolate cyclohydrolase	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	rxn01211_d
PS_complex_272bfe	rxn01211_m_A	Methenyltetrahydrofolate cyclohydrolase	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	rxn01211_m
PS_complex_29e037	rxn01257_d_A	Para-aminobenzoate synthase	Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)|Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)	rxn01257_d
PS_complex_696a17	rxn01258_d_A	Isochorismate synthase	Isochorismate synthase (EC 5.4.4.2)	rxn01258_d
PS_complex_2aaa9a	rxn01301_d_A	Homoserine dehydrogenase	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01301_d
PS_complex_cb3068	rxn01302_d_A	Homoserine dehydrogenase	Homoserine dehydrogenase (EC 1.1.1.3)	rxn01302_d
PS_complex_3a3a03	rxn01520_c_A	Thymidylate synthase	Thymidylate synthase (EC 2.1.1.45)	rxn01520_c
PS_complex_9c23be	rxn01740_d_A	Shikimate 5-dehydrogenase I alpha	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	rxn01740_d
PS_complex_88dfa0	rxn02159_d_A	Histidinol dehydrogenase	Histidinol dehydrogenase (EC 1.1.1.23)	rxn02159_d
PS_complex_c714c7	rxn02201_c_A	Dihydropteroate synthase	Dihydropteroate synthase (EC 2.5.1.15)	rxn02201_c
PS_complex_1b5337	rxn02201_m_A	Dihydropteroate synthase	Dihydropteroate synthase (EC 2.5.1.15)	rxn02201_m
PS_complex_e418f2	rxn02213_d_A	3-dehydroquinate dehydratase	3-dehydroquinate dehydratase I (EC 4.2.1.10)	rxn02213_d
PS_complex_25c418	rxn02251_d_A	Ribulose bisphosphate carboxylase	Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)|Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn02251_d
PS_complex_30f415	rxn02251_x_RX	Ribulose bisphosphate carboxylase	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn02251_x
PS_complex_efcd53	rxn02277_m_A	Dethiobiotin synthetase	Dethiobiotin synthetase (EC 6.3.3.3)	rxn02277_m
PS_complex_f958ce	rxn02305_d_A	Thiamin-phosphate pyrophosphorylase	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	rxn02305_d
PS_complex_66310b	rxn02312_m_A	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	rxn02312_m
PS_complex_7e967b	rxn02373_c_A	Gamma-glutamyl phosphate reductase	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	rxn02373_c
PS_complex_4454a5	rxn02373_d_A	Gamma-glutamyl phosphate reductase	Gamma-glutamyl phosphate reductase (EC 1.2.1.41)	rxn02373_d
PS_complex_a03909	rxn02475_d_A	Diaminohydroxyphosphoribosylaminopyrimidine deaminase	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	rxn02475_d
PS_complex_1ff337	rxn02484_d_A	Hydroxymethylpyrimidine kinase	Hydroxymethylpyrimidine kinase (EC 2.7.1.49)	rxn02484_d
PS_complex_e8f3f5	rxn02503_c_A	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	rxn02503_c
PS_complex_47c37d	rxn02503_m_A	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	rxn02503_m
PS_complex_6801a7	rxn02789_d_A	3-isopropylmalate dehydratase	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)|3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	rxn02789_d
PS_complex_5f7194	rxn02811_d_A	3-isopropylmalate dehydratase	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)|3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	rxn02811_d
PS_complex_05670c	rxn02834_d_A	Phosphoribosyl-ATP pyrophosphatase	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	rxn02834_d
PS_complex_f3fa59	rxn02835_d_A	Phosphoribosyl-AMP cyclohydrolase	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	rxn02835_d
PS_complex_763014	rxn02938_d_A	Phosphoribosylaminoimidazole carboxylase	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)|Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	rxn02938_d
PS_complex_8ffa67	rxn02988_d_A	Quinolinate synthetase	Quinolinate synthetase (EC 2.5.1.72)	rxn02988_d
PS_complex_c6c960	rxn03084_d_A	Phosphoribosylformylglycinamidine synthase	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)|Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	rxn03084_d
PS_complex_618324	rxn03084_m_A	Phosphoribosylformylglycinamidine synthase	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)|Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	rxn03084_m
PS_complex_ce54d3	rxn03108_d_A	Hydroxymethylpyrimidine phosphate kinase|Thiamin-phosphate pyrophosphorylase	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)|Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	rxn03108_d
PS_complex_912f3e	rxn03135_d_A	Imidazole glycerol phosphate synthase	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)|Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	rxn03135_d
PS_complex_6eaf7e	rxn03137_d_A	Phosphoribosylaminoimidazolecarboxamide formyltransferase	Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	rxn03137_d
PS_complex_fbd73c	rxn05040_d_A	3,4-dihydroxy-2-butanone 4-phosphate synthase	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	rxn05040_d
PS_complex_3258ad	rxn05105_d_A	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	rxn05105_d
PS_complex_4aa940	rxn05106_d_A	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase	2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)	rxn05106_d
PS_complex_275322	rxn08094_m_A	2-oxoglutarate dehydrogenase	Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)|2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)|Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	rxn08094_m
PS_complex_6d3f23	rxn08173_j_A	ATP synthase	ATP synthase epsilon chain (EC 3.6.3.14)|ATP synthase alpha chain (EC 3.6.3.14)|ATP synthase gamma chain (EC 3.6.3.14)|ATP synthase beta chain (EC 3.6.3.14)|ATP synthase delta' chain (EC 3.6.3.14)	rxn08173_j
PS_complex_e2ce3e	rxn08173_v_A	V-type ATP synthase	V-type ATP synthase subunit C (EC 3.6.3.14)|V-type ATP synthase subunit B (EC 3.6.3.14)|V-type ATP synthase subunit E (EC 3.6.3.14)|V-type ATP synthase subunit A (EC 3.6.3.14)|V-type ATP synthase subunit G (EC 3.6.3.14)|V-type ATP synthase subunit H (EC 3.6.3.14)|V-type ATP synthase subunit D (EC 3.6.3.14)|V-type ATP synthase subunit F (EC 3.6.3.14)	rxn08173_v
PS_complex_f44028	rxn08173_y_A	Plastidial ATP synthase	Plastidial ATP synthase gamma chain|Plastidial ATP synthase delta chain|Plastidial ATP synthase alpha chain (EC 3.6.3.14)|Plastidial ATP synthase epsilon chain|Plastidial ATP synthase beta chain (EC 3.6.3.14)	rxn08173_y
PS_complex_7923cd	rxn09272_m_A	Succinate dehydrogenase	Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH6|Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH5|Succinate dehydrogenase (ubiquinone) flavoprotein subunit SDH1/SDHA (EC 1.3.5.1)|Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH8|Succinate dehydrogenase (ubiquinone) membrane anchor subunit SDH4/SDHD|Succinate dehydrogenase (ubiquinone) iron-sulfur subunit SDH2/SDHB (EC 1.3.5.1)|Succinate dehydrogenase (ubiquinone) plant-specific subunit SDH7|Succinate dehydrogenase (ubiquinone) cytochrome b560 subunit SDH3/SDHC	rxn09272_m
PS_complex_7c8c48	rxn13689_j_A	Ubiquinol-cytochrome c reductase	Putative ubiquinol-cytochrome c reductase complex core protein II (subunit COR2)|Putative ubiquinol-cytochrome c reductase complex core protein I (subunit COR1)|ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit|Ubiquinol-cytochrome c reductase complex subunit 6 (hinge protein)|Ubiquinol-cytochrome c reductase complex subunit 7|Ubiquinol-cytochrome c reductase complex subunit 8 (ubiquinone-binding protein QP-C)|Ubiquinol-cytochrome c reductase complex subunit 9|Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)|Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	rxn13689_j
PS_complex_0b7663	rxn13726_j_A	NADH dehydrogenase [ubiquinone]	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8|NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9|NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10|NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2|NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3|NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7|NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8|NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9|NADH dehydrogenase [ubiquinone] (EC 1.6.5.3) mitochondrial-encoded chain 1, ND1|NADH dehydrogenase [ubiquinone] (EC 1.6.5.3) mitochondrial-encoded chain 2, ND2|NADH dehydrogenase [ubiquinone] (EC 1.6.5.3) mitochondrial-encoded chain 3, ND3|NADH dehydrogenase [ubiquinone] (EC 1.6.5.3) mitochondrial-encoded chain 4L, ND4L|NADH dehydrogenase [ubiquinone] (EC 1.6.5.3) mitochondrial-encoded chain 4, ND4|NADH dehydrogenase [ubiquinone] (EC 1.6.5.3) mitochondrial-encoded chain 5, ND5|NADH dehydrogenase [ubiquinone] flavoprotein 1 (EC 1.6.5.3) (EC 1.6.99.3)|NADH dehydrogenase [ubiquinone] flavoprotein 2 (EC 1.6.5.3) (EC 1.6.99.3)|NADH dehydrogenase [ubiquinone] iron-sulfur protein 1 (EC 1.6.5.3) (EC 1.6.99.3)|NADH dehydrogenase [ubiquinone] iron-sulfur protein 2 (EC 1.6.5.3) (EC 1.6.99.3)|NADH dehydrogenase [ubiquinone] iron-sulfur protein 3 (EC 1.6.5.3) (EC 1.6.99.3)|NADH dehydrogenase [ubiquinone] iron-sulfur protein 4|NADH dehydrogenase [ubiquinone] iron-sulfur protein 5|NADH dehydrogenase [ubiquinone] iron-sulfur protein 6|NADH dehydrogenase [ubiquinone] iron-sulfur protein 7 (EC 1.6.5.3) (EC 1.6.99.3)|NADH dehydrogenase [ubiquinone] iron-sulfur protein 8 (EC 1.6.5.3) (EC 1.6.99.3)	rxn13726_j
PS_complex_6e64b7	rxn15021_d_A	Acetolactate synthase	Acetolactate synthase large subunit (EC 2.2.1.6)|Acetolactate synthase small subunit (EC 2.2.1.6)	rxn15021_d
PS_complex_1c3303	rxn15056_m_A	Isocitrate dehydrogenase [NAD]	Isocitrate dehydrogenase [NAD] catalytic subunit (EC 1.1.1.41)|Isocitrate dehydrogenase [NAD] regulatory subunit (EC 1.1.1.41)	rxn15056_m
PS_complex_79c57f	rxn17731_c_RX	Cysteine desulfurase	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	rxn17731_c
PS_complex_44052a	rxn17731_m_A	Adrenodoxin reductase|Biotin synthase|Cysteine desulfurase	Adrenodoxin reductase (EC 1.18.1.6)|Biotin synthase (EC 2.8.1.6)|Cysteine desulfurase (EC 2.8.1.7), IscS subfamily|Adrenodoxin, mitochondrial ferredoxin	rxn17731_m
PS_complex_0d3c7e	rxn17744_d_RX	Branched-chain alpha-keto acid dehydrogenase	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	rxn17744_d
PS_complex_976cdf	rxn17744_m_A	Branched-chain alpha-keto acid dehydrogenase	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)|Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)|Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)|Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	rxn17744_m
PS_complex_c46e65	rxn19030_d_A	Acetolactate synthase	Acetolactate synthase small subunit (EC 2.2.1.6)|Acetolactate synthase large subunit (EC 2.2.1.6)	rxn19030_d
PS_complex_85c8a2	rxn19077_c_A	Ribonucleotide reductase of class Ia	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)|Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn19077_c
PS_complex_b57a43	rxn19277_c_A	Ribonucleotide reductase of class Ia	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)|Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn19277_c
PS_complex_f26719	rxn19345_c_A	Cysteine synthase|Serine acetyltransferase	Cysteine synthase (EC 2.5.1.47)|Serine acetyltransferase (EC 2.3.1.30)	rxn19345_c
PS_complex_41d224	rxn19345_d_A	Cysteine synthase|Serine acetyltransferase	Cysteine synthase (EC 2.5.1.47)|Serine acetyltransferase (EC 2.3.1.30)	rxn19345_d
PS_complex_594282	rxn19345_m_A	Cysteine synthase|Serine acetyltransferase	Cysteine synthase (EC 2.5.1.47)|Serine acetyltransferase (EC 2.3.1.30)	rxn19345_m
PS_complex_925d71	rxn19771_c_A	Ribonucleotide reductase of class Ia	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)|Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	rxn19771_c
PS_complex_c0423e	rxn20595_y_A	Cytochrome b6-f	Cytochrome b6-f complex PetC, Rieske iron-sulfur protein (EC 7.1.1.6)|Cytochrome b6-f complex PetA, apocytochrome f (EC 7.1.1.6)|Cytochrome b6-f complex PetB, cytochrome b6 (EC 7.1.1.6)|Cytochrome b6-f complex PetD, subunit IV (EC 7.1.1.6)|Cytochrome b6-f complex PetG, subunit V (EC 7.1.1.6)	rxn20595_y
PS_complex_8d62e8	rxn20617_c_A	Glutamate 5-kinase	Glutamate 5-kinase (EC 2.7.2.11)	rxn20617_c
PS_complex_fd3f2c	rxn20617_d_A	Glutamate 5-kinase	Glutamate 5-kinase (EC 2.7.2.11)	rxn20617_d
PS_complex_ec6b9e	rxn20632_y_A	Cytochrome b559|Photosystem II	Cytochrome b559 alpha chain PsbE|Cytochrome b559 beta chain PsbF|Photosystem II protein PsbH|Photosystem II protein PsbR|Photosystem II protein Psb28|Photosystem II CP22 protein PsbS|Photosystem II CP43 protein PsbC|Photosystem II CP47 protein PsbB|Photosystem II manganese-stabilizing protein PsbO|Photosystem II oxygen evolving complex protein PsbP|Photosystem II oxygen evolving complex protein PsbQ|Photosystem II protein D1 PsbA|Photosystem II protein D2 PsbD|Photosystem II protein Psb27|Photosystem II protein PsbI|Photosystem II protein PsbJ|Photosystem II protein PsbK|Photosystem II protein PsbL|Photosystem II protein PsbM|Photosystem II protein PsbN|Photosystem II protein PsbTn|Photosystem II protein PsbX|Photosystem II protein PsbY|Photosystem II protein PsbZ|Photosystem II stability/assembly factor HCF136/Ycf48|Putative chaperon-like protein Ycf39 for quinone binding in Photosystem II	rxn20632_y
PS_complex_b8df4e	rxn21635_c_A	Pyridoxine biosynthesis glutamine amidotransferase	Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)|Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	rxn21635_c
PS_complex_d399e4	rxn21635_n_A	Pyridoxine biosynthesis glutamine amidotransferase	Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)|Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	rxn21635_n
PS_complex_7a6b2f	rxn23155_d_A	NAD(P)H-hydrate epimerase	NAD(P)H-hydrate epimerase (EC 5.1.99.6)	rxn23155_d
PS_complex_ff2df3	rxn23415_d_A	NAD(P)H-hydrate epimerase	NAD(P)H-hydrate epimerase (EC 5.1.99.6)	rxn23415_d
PS_complex_6a54c7	rxn24147_c_A	Methenyltetrahydrofolate cyclohydrolase	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	rxn24147_c
PS_complex_a1a686	rxn24147_d_A	Methenyltetrahydrofolate cyclohydrolase	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	rxn24147_d
PS_complex_5204b3	rxn24147_m_A	Methenyltetrahydrofolate cyclohydrolase	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	rxn24147_m
