Subsystem	Role	Reactions	Genes	Reference	Consensus location	Notes	
Cofactor_transport_in_plants	S-Adenosylhomocysteine transport	rxn09785			cd, cm		
Cofactor_transport_in_plants	S-Adenosylmethionine transport	rxn09784			cd, cm		
Cofactor_transport_in_plants	Solanesyl-PP transport	rxn39253			cd, cm		
Cofactor_transport_in_plants	Thiamin monophosphate transport	rxn31927			cd	ThMP synthesized in plastids. ThMP exported to cytosol and hydrolysed there to thiamin, followed by conversion to ThDP.	
Cofactor_transport_in_plants	Thiamin transport	rxn09300			cd		
Cofactor_transport_in_plants	Ubiquinone-9 transport	rxn39254			cm		
Cofactor_transport_in_plants	Uracil transport	rxn09366			cd		
Fatty_acid_transport_in_plants	Fatty acid transport	rxn08704, rxn09034, rxn28606			cd		
Media_transport_in_plants	Ammonia transport	rxn09736			cd, ce, cm		
Media_transport_in_plants	Carbon dioxide transport	rxn05467			cd, ce, cm		
Media_transport_in_plants	Chloride transport	rxn08233			ce		
Media_transport_in_plants	Light transport	rxn31154			de		
Media_transport_in_plants	Nitrate transport	rxn09005			cd, ce, cm		
Media_transport_in_plants	Nitrite transport	rxn08999			cd, ce, cm		
Media_transport_in_plants	Oxygen transport	rxn05468			cd, ce, cm, cx		
Media_transport_in_plants	Phosphate transport	rxn09121			cd, ce, cm		
Media_transport_in_plants	Potassium transport	rxn05206			ce		
Media_transport_in_plants	Proton transport	rxn08730			cd, ce, cm, cv		
Media_transport_in_plants	Pyrophosphate transport	rxn29733			cd, cm, cv, cx		
Media_transport_in_plants	Sucrose transport	rxn09275			cd, ce, cv		
Media_transport_in_plants	Sulfate transport	rxn05238			cd, ce, cv		
Media_transport_in_plants	Urea transport	rxn05667			cd, ce, cm		
Media_transport_in_plants	Water transport	rxn05319			cd, ce, cm, cv, cx		
