1	EC number	Spectator Cofactors	Co-substrate Cofactors	Class	Subsystem	Functional Role	Reaction	Equation	Comments
15	3.1.3.3			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Phosphoserine phosphatase (EC 3.1.3.3)	rxn00420	(1) H2O[0] + (1) phosphoserine[0] <=> (1) Phosphate[0] + (1) L-Serine[0]	
16	2.1.2.1			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692	(1) H2O[0] + (1) Glycine[0] + (1) 5-10-Methylenetetrahydrofolate[0] <=> (1) L-Serine[0] + (1) Tetrahydrofolate[0]	
17	5.1.1.18			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Serine racemase (EC 5.1.1.18)	rxn00425	(1) L-Serine[0] <=> (1) D-Serine[0]	
18	2.6.1.45			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Serine--glyoxylate aminotransferase (EC 2.6.1.45)	rxn00424	(1) Glyoxalate[0] + (1) L-Serine[0] <=> (1) Glycine[0] + (1) Hydroxypyruvate[0]	
19	2.7.2.8			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Acetylglutamate kinase (EC 2.7.2.8)	rxn01917	(1) ATP[0] + (1) N-Acetyl-L-glutamate[0] <=> (1) ADP[0] + (1) n-acetylglutamyl-phosphate[0]	
20	2.6.1.11			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Acetylornithine aminotransferase (EC 2.6.1.11)	rxn01637	(1) 2-Oxoglutarate[0] + (1) N-Acetylornithine[0] <=> (1) L-Glutamate[0] + (1) 2-Acetamido-5-oxopentanoate[0]	
21	3.5.1.16			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Acetylornithine deacetylase (EC 3.5.1.16)	rxn00469	(1) H2O[0] + (1) N-Acetylornithine[0] <=> (1) Acetate[0] + (1) Ornithine[0]	
22	3.5.3.1			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Arginase (EC 3.5.3.1)	rxn00394	(1) H2O[0] + (1) L-Arginine[0] <=> (1) Ornithine[0] + (1) Urea[0]	
23	4.3.2.1			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Argininosuccinate lyase (EC 4.3.2.1)	rxn00802	(1) L-Argininosuccinate[0] <=> (1) L-Arginine[0] + (1) Fumarate[0]	
24	6.3.4.5			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Argininosuccinate synthase (EC 6.3.4.5)	rxn01434	(1) ATP[0] + (1) L-Aspartate[0] + (1) Citrulline[0] <=> (1) PPi[0] + (1) AMP[0] + (2) H+[0] + (1) L-Argininosuccinate[0]	
25	6.3.5.5			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	rxn00414	(1) H2O[0] + (2) ATP[0] + (1) L-Glutamine[0] + (1) H2CO3[0] <=> (2) ADP[0] + (1) Phosphate[0] + (1) L-Glutamate[0] + (2) H+[0] + (1) Carbamoylphosphate[0]	
26	6.3.5.5			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	rxn00414	(1) H2O[0] + (2) ATP[0] + (1) L-Glutamine[0] + (1) H2CO3[0] <=> (2) ADP[0] + (1) Phosphate[0] + (1) L-Glutamate[0] + (2) H+[0] + (1) Carbamoylphosphate[0]	
27	2.3.1.35			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Glutamate N-acetyltransferase (EC 2.3.1.35)	rxn01636	(1) L-Glutamate[0] + (1) N-Acetylornithine[0] <=> (1) Ornithine[0] + (1) N-Acetyl-L-glutamate[0]	
28	1.2.1.38			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	rxn02465	(1) NADP[0] + (1) Phosphate[0] + (1) 2-Acetamido-5-oxopentanoate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) n-acetylglutamyl-phosphate[0]	
29	2.3.1.1			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	N-acetylglutamate synthase (EC 2.3.1.1)	rxn00192	(1) Acetyl-CoA[0] + (1) L-Glutamate[0] <=> (1) CoA[0] + (1) H+[0] + (1) N-Acetyl-L-glutamate[0]	
30	1.14.13.39			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Nitric-oxide synthase (EC 1.14.13.39)	rxn14058	(3) NADPH[0] + (4) O2[0] + (2) L-Arginine[0] + (1) H+[0] <=> (4) H2O[0] + (3) NADP[0] + (2) Citrulline[0] + (2) NO[0]	
31	2.1.3.3			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Ornithine carbamoyltransferase (EC 2.1.3.3)	rxn01019	(1) Ornithine[0] + (1) Carbamoylphosphate[0] <=> (1) Phosphate[0] + (1) H+[0] + (1) Citrulline[0]	
32	3.5.1.5			Amino acids	Arginine_metabolism_and_urea_cycle_in_plants	Urease (EC 3.5.1.5)	rxn00101	(1) H2O[0] + (2) H+[0] + (1) Urea[0] <=> (1) CO2[0] + (2) NH3[0]	
33	3.5.1.6			Amino acids	Beta_alanine_biosynthesis_in_plants	Beta-ureidopropionase (EC 3.5.1.6)	rxn00654	(1) H2O[0] + (2) H+[0] + (1) 3-Ureidopropanoate[0] <=> (1) CO2[0] + (1) NH3[0] + (1) beta-Alanine[0]	
34	3.5.2.2			Amino acids	Beta_alanine_biosynthesis_in_plants	Dihydropyrimidinase (EC 3.5.2.2)	rxn01626	(1) H2O[0] + (1) Hydrouracil[0] <=> (1) H+[0] + (1) 3-Ureidopropanoate[0]	
35	1.3.1.2			Amino acids	Beta_alanine_biosynthesis_in_plants	Dihydropyrimidine dehydrogenase (EC 1.3.1.2)	rxn00720	(1) NADP[0] + (1) Hydrouracil[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Uracil[0]	
36				Amino acids	Beta_alanine_biosynthesis_in_plants	Hydrouracil transport	rxn39244	(1) Hydrouracil[0] <=> (1) Hydrouracil[1]	
37				Amino acids	Beta_alanine_biosynthesis_in_plants	Uracil transport	rxn09366	(1) Uracil[0] <=> (1) Uracil[1]	
38	2.3.3.13			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	2-isopropylmalate synthase (EC 2.3.3.13)	rxn27497	(1) H2O[0] + (1) Acetyl-CoA[0] + (1) 3-Methyl-2-oxobutanoate[0] => (1) CoA[0] + (1) H+[0] + (1) 2-Isopropylmalate[0]	
39	4.2.1.33			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	rxn02789	(1) 2-Isopropylmalate[0] <=> (1) H2O[0] + (1) 2-Isopropylmaleate[0]	
40	4.2.1.33			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	rxn02811	(1) 3-Isopropylmalate[0] <=> (1) H2O[0] + (1) 2-Isopropylmaleate[0]	
41	4.2.1.33			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	rxn02789	(1) 2-Isopropylmalate[0] <=> (1) H2O[0] + (1) 2-Isopropylmaleate[0]	
42	4.2.1.33			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	rxn02811	(1) 3-Isopropylmalate[0] <=> (1) H2O[0] + (1) 2-Isopropylmaleate[0]	
43	1.1.1.85			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	rxn03062	(1) NAD[0] + (1) 3-Isopropylmalate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 2-isopropyl-3-oxosuccinate[0]	
44	2.2.1.6			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Acetolactate synthase large subunit (EC 2.2.1.6)	rxn00011	(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] <=> (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0]	
45	2.2.1.6			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Acetolactate synthase large subunit (EC 2.2.1.6)	rxn15021	(1) CO2[0] + (1) (S)-2-Acetolactate[0] <= (2) Pyruvate[0] + (1) H+[0]	
46	2.2.1.6			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Acetolactate synthase large subunit (EC 2.2.1.6)	rxn19030	(1) Pyruvate[0] + (1) H+[0] + (1) 2-Oxobutyrate[0] => (1) CO2[0] + (1) 2-Aceto-2-hydroxybutanoate[0]	
47	2.2.1.6			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Acetolactate synthase small subunit (EC 2.2.1.6)	rxn00011	(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] <=> (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0]	
48	2.2.1.6			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Acetolactate synthase small subunit (EC 2.2.1.6)	rxn15021	(1) CO2[0] + (1) (S)-2-Acetolactate[0] <= (2) Pyruvate[0] + (1) H+[0]	
49	2.2.1.6			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Acetolactate synthase small subunit (EC 2.2.1.6)	rxn19030	(1) Pyruvate[0] + (1) H+[0] + (1) 2-Oxobutyrate[0] => (1) CO2[0] + (1) 2-Aceto-2-hydroxybutanoate[0]	
50	1.2.4.4			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4)	rxn17206	(1) H+[0] + (1) 3-Methyl-2-oxobutanoate[0] + (1) BCAA-dehydrogenase-lipoyl[0] <= (1) CO2[0] + (1) BCAA-dehydrogenase-2MP-DH-lipoyl[0]	
51	1.2.4.4			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)	rxn17206	(1) H+[0] + (1) 3-Methyl-2-oxobutanoate[0] + (1) BCAA-dehydrogenase-lipoyl[0] <= (1) CO2[0] + (1) BCAA-dehydrogenase-2MP-DH-lipoyl[0]	
52	2.6.1.42			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn19240	(1) 2-Oxoglutarate[0] + (1) L-Isoleucine[0] <=> (1) L-Glutamate[0] + (1) 3MOP[0]	
53	2.6.1.42			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn19241	(1) 2-Oxoglutarate[0] + (1) L-Leucine[0] <=> (1) L-Glutamate[0] + (1) 4MOP[0]	
54	2.6.1.42			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn19242	(1) 2-Oxoglutarate[0] + (1) L-Valine[0] <=> (1) L-Glutamate[0] + (1) 3-Methyl-2-oxobutanoate[0]	
55	2.3.1.168			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	rxn17464	(1) CoA[0] + (1) BCAA-dehydrogenase-2MP-DH-lipoyl[0] => (1) Isobutyryl-CoA[0] + (1) BCAA-dehydrogenase-DH-lipoyl[0]	
56	1.8.1.4			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Dihydrolipoamide dehydrogenase of branched-chain alpha-keto acid dehydrogenase (EC 1.8.1.4)	rxn24412	(1) NAD[0] + (1) BCAA-dehydrogenase-DH-lipoyl[0] <=> (1) NADH[0] + (1) H+[0] + (1) BCAA-dehydrogenase-lipoyl[0]	
57	4.2.1.9			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Dihydroxy-acid dehydratase (EC 4.2.1.9)	rxn19544	(1) DIOH-ISOVALERATE[0] => (1) H2O[0] + (1) 3-Methyl-2-oxobutanoate[0]	
58	4.2.1.9			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Dihydroxy-acid dehydratase (EC 4.2.1.9)	rxn19545	(1) 2,3-Dihydroxy-3-methylvalerate[0] => (1) H2O[0] + (1) 3MOP[0]	
59	1.1.1.86			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Ketol-acid reductoisomerase (EC 1.1.1.86)	rxn19027	(1) NADP[0] + (1) DIOH-ISOVALERATE[0] <=> (1) NADPH[0] + (1) H+[0] + (1) (S)-2-Acetolactate[0]	
60	1.1.1.86			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Ketol-acid reductoisomerase (EC 1.1.1.86)	rxn19029	(1) NADP[0] + (1) 2,3-Dihydroxy-3-methylvalerate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2-Aceto-2-hydroxybutanoate[0]	
61	4.4.1.11			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Methionine gamma-lyase (EC 4.4.1.11)	rxn00456	(1) H2O[0] + (1) L-Methionine[0] <=> (1) NH3[0] + (1) 2-Oxobutyrate[0] + (1) MTTL[0]	
62				Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Spontaneous Reaction	rxn01208	(1) CO2[0] + (1) 4MOP[0] <=> (1) H+[0] + (1) 2-isopropyl-3-oxosuccinate[0]	
63	4.3.1.19			Amino acids	Branched-chain_amino_acid_metabolism_in_plants	Threonine dehydratase biosynthetic (EC 4.3.1.19)	rxn00737	(1) L-Threonine[0] <=> (1) NH3[0] + (1) 2-Oxobutyrate[0]	
64	2.5.1.54			Amino acids	Chorismate_biosynthesis_in_plants	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	rxn01332	(1) H2O[0] + (1) Phosphoenolpyruvate[0] + (1) D-Erythrose4-phosphate[0] <=> (1) Phosphate[0] + (1) DAHP[0]	
65	4.2.1.10			Amino acids	Chorismate_biosynthesis_in_plants	3-dehydroquinate dehydratase I (EC 4.2.1.10)	rxn02213	(1) 5-Dehydroquinate[0] <=> (1) H2O[0] + (1) 3-Dehydroshikimate[0]	
66	4.2.3.4			Amino acids	Chorismate_biosynthesis_in_plants	3-dehydroquinate synthase (EC 4.2.3.4)	rxn02212	(1) DAHP[0] <=> (1) Phosphate[0] + (1) 5-Dehydroquinate[0]	
67	2.5.1.19			Amino acids	Chorismate_biosynthesis_in_plants	5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19)	rxn02476	(1) Phosphoenolpyruvate[0] + (1) 3-phosphoshikimate[0] <=> (1) Phosphate[0] + (1) 5-O--1-Carboxyvinyl-3-phosphoshikimate[0]	
68	4.2.3.5			Amino acids	Chorismate_biosynthesis_in_plants	Chorismate synthase (EC 4.2.3.5)	rxn01255	(1) 5-O--1-Carboxyvinyl-3-phosphoshikimate[0] <=> (1) Phosphate[0] + (1) Chorismate[0]	
69	1.1.1.25			Amino acids	Chorismate_biosynthesis_in_plants	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	rxn01740	(1) NADP[0] + (1) Shikimate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 3-Dehydroshikimate[0]	
70	2.7.1.71			Amino acids	Chorismate_biosynthesis_in_plants	Shikimate kinase I (EC 2.7.1.71)	rxn01739	(1) ATP[0] + (1) Shikimate[0] <=> (1) ADP[0] + (1) H+[0] + (1) 3-phosphoshikimate[0]	
71				Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	3-cyanoalanine hydratase (4.2.1.65)	rxn00937	(1) L-Asparagine[0] <=> (1) H2O[0] + (1) L-3-Cyanoalanine[0]	
72	4.2.1.3			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Aconitate hydratase (EC 4.2.1.3)	rxn00974	(1) Citrate[0] <=> (1) H2O[0] + (1) cis-Aconitate[0]	
73	4.2.1.3			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Aconitate hydratase (EC 4.2.1.3)	rxn15280	(1) D-threo-Isocitric acid[0] <=> (1) H2O[0] + (1) cis-Aconitate[0]	
74	3.5.3.1			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Arginase (EC 3.5.3.1)	rxn00394	(1) H2O[0] + (1) L-Arginine[0] <=> (1) Ornithine[0] + (1) Urea[0]	
75	6.3.5.4			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	rxn00416	(1) H2O[0] + (1) ATP[0] + (1) L-Aspartate[0] + (1) L-Glutamine[0] <=> (1) PPi[0] + (1) AMP[0] + (1) L-Glutamate[0] + (2) H+[0] + (1) L-Asparagine[0]	
76	2.6.1.1			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Aspartate aminotransferase (EC 2.6.1.1)	rxn00260	(1) 2-Oxoglutarate[0] + (1) L-Aspartate[0] <=> (1) L-Glutamate[0] + (1) Oxaloacetate[0]	
77	2.6.1.1			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Aspartate aminotransferase (EC 2.6.1.1)	rxn00527	(1) 2-Oxoglutarate[0] + (1) L-Tyrosine[0] <=> (1) L-Glutamate[0] + (1) p-hydroxyphenylpyruvate[0]	
78	2.3.3.1			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Citrate synthase (si) (EC 2.3.3.1)	rxn19316	(1) H2O[0] + (1) Acetyl-CoA[0] + (1) Oxaloacetate[0] => (1) CoA[0] + (1) H+[0] + (1) Citrate[0]	
79	3.5.5.4			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Cyanoalanine nitrilase (EC 3.5.5.4)	rxn00343	(2) H2O[0] + (1) L-3-Cyanoalanine[0] <=> (1) NH3[0] + (1) L-Aspartate[0]	
80	1.5.1.12			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)	rxn20649	(2) H2O[0] + (1) NAD[0] + (1) 1-Pyrroline-5-carboxylate[0] <=> (1) NADH[0] + (1) L-Glutamate[0] + (1) H+[0]	
81	1.4.7.1			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	rxn19828	(2) L-Glutamate[0] + (2) Oxidized-ferredoxins[0] <=> (1) 2-Oxoglutarate[0] + (1) L-Glutamine[0] + (2) H+[0] + (2) Reduced-ferredoxins[0]	
82	1.4.1.14			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Glutamate synthase [NADH] (EC 1.4.1.14)	rxn00069	(1) NAD[0] + (2) L-Glutamate[0] <=> (1) NADH[0] + (1) 2-Oxoglutarate[0] + (1) L-Glutamine[0] + (1) H+[0]	
83	6.3.1.2			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)	rxn00187	(1) ATP[0] + (1) NH3[0] + (1) L-Glutamate[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) L-Glutamine[0] + (1) H+[0]	
84	1.1.1.42			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	rxn15022	(1) NADP[0] + (1) D-threo-Isocitric acid[0] => (1) NADPH[0] + (1) CO2[0] + (1) 2-Oxoglutarate[0]	
85	1.1.1.41			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	rxn15056	(1) NAD[0] + (1) D-threo-Isocitric acid[0] => (1) NADH[0] + (1) CO2[0] + (1) 2-Oxoglutarate[0]	
86	4.4.1.9			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	L-3-cyanoalanine synthase (EC 4.4.1.9)	rxn02516	(1) L-Cysteine[0] + (1) HCN[0] <=> (1) H+[0] + (1) H2S[0] + (1) L-3-Cyanoalanine[0]	
87	1.4.1.4			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	rxn00184	(1) H2O[0] + (1) NADP[0] + (1) L-Glutamate[0] <=> (1) NADPH[0] + (1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) H+[0]	
88	2.6.1.13			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Ornithine aminotransferase (EC 2.6.1.13)	rxn20496	(1) 2-Oxoglutarate[0] + (1) Ornithine[0] <=> (1) L-Glutamate[0] + (1) L-Glutamate5-semialdehyde[0]	
89	4.1.1.31			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Phosphoenolpyruvate carboxylase (EC 4.1.1.31)	rxn20508	(1) Phosphate[0] + (1) Oxaloacetate[0] <=> (1) Phosphoenolpyruvate[0] + (1) H2CO3[0]	
90	2.7.9.1			Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Pyruvate,phosphate dikinase (EC 2.7.9.1)	rxn00151	(1) ATP[0] + (1) Phosphate[0] + (1) Pyruvate[0] <=> (1) PPi[0] + (1) AMP[0] + (1) Phosphoenolpyruvate[0] + (2) H+[0]	
91				Amino acids	Glutamine,_glutamate,_aspartate,_asparagine_metabolism_in_plants	Spontaneous Reaction	rxn02374	(1) L-Glutamate5-semialdehyde[0] <=> (1) H2O[0] + (1) H+[0] + (1) 1-Pyrroline-5-carboxylate[0]	
92	2.4.2.17			Amino acids	Histidine_Biosynthesis_in_plants	ATP phosphoribosyltransferase (EC 2.4.2.17)	rxn00789	(1) PPi[0] + (1) H+[0] + (1) Phosphoribosyl-ATP[0] <=> (1) ATP[0] + (1) PRPP[0]	
93	6.3.4.4			Amino acids	Histidine_Biosynthesis_in_plants	Adenylosuccinate synthetase (EC 6.3.4.4)	rxn00838	(1) GTP[0] + (1) L-Aspartate[0] + (1) IMP[0] <=> (1) Phosphate[0] + (1) GDP[0] + (2) H+[0] + (1) Adenylosuccinate[0]	
94	1.1.1.23			Amino acids	Histidine_Biosynthesis_in_plants	Histidinol dehydrogenase (EC 1.1.1.23)	rxn00863	(1) H2O[0] + (1) NAD[0] + (1) L-Histidinal[0] <=> (1) NADH[0] + (2) H+[0] + (1) L-Histidine[0]	
95	1.1.1.23			Amino acids	Histidine_Biosynthesis_in_plants	Histidinol dehydrogenase (EC 1.1.1.23)	rxn02159	(1) NAD[0] + (1) L-Histidinol[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-Histidinal[0]	
96	3.1.3.15			Amino acids	Histidine_Biosynthesis_in_plants	Histidinol-phosphatase [alternative form] (EC 3.1.3.15)	rxn27927	(1) H2O[0] + (1) L-histidinol-phosphate[0] <=> (1) Phosphate[0] + (1) L-Histidinol[0]	
97	2.6.1.9			Amino acids	Histidine_Biosynthesis_in_plants	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	rxn00527	(1) 2-Oxoglutarate[0] + (1) L-Tyrosine[0] <=> (1) L-Glutamate[0] + (1) p-hydroxyphenylpyruvate[0]	
98	2.6.1.9			Amino acids	Histidine_Biosynthesis_in_plants	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	rxn02320	(1) 2-Oxoglutarate[0] + (1) L-histidinol-phosphate[0] <=> (1) L-Glutamate[0] + (1) imidazole acetol-phosphate[0]	
99	2.4.2.-			Amino acids	Histidine_Biosynthesis_in_plants	Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	rxn03135	(1) L-Glutamate[0] + (2) H+[0] + (1) D-erythro-imidazol-glycerol-phosphate[0] + (1) AICAR[0] <=> (1) L-Glutamine[0] + (1) phosphoribulosylformimino-AICAR-phosphate[0]	
