"PSI","Species A","Species B"
"0.12","sp|Q9FPW3|DBBT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23"
"0.12","sp|Q9FPW3|DBBT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28"
"0.12","sp|Q9FPW3|DBBT_TAXCU","Osativa_v7.0||LOC_Os11g42380.1"
"0.12","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo12G0047800"
"0.12","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo6G0051300"
"0.12","sp|Q9FPW3|DBBT_TAXCU","Zmays_RefGen_V4||Zm00001d030540_T001"
"0.12","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os11g42380.1"
"0.12","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d030540_T001"
"0.13","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.412","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.13","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.213","sp|Q9FPW3|DBBT_TAXCU"
"0.13","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23","sp|Q8LL69|DBNBT_TAXCA"
"0.13","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23","sp|Q9M6E2|DBAT_TAXCU"
"0.13","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23","sp|Q9M6F0|T5AT_TAXCU"
"0.13","Bdistachyon_v3.1||Bradi2g43537.1","sp|Q9FPW3|DBBT_TAXCU"
"0.13","Bdistachyon_v3.1||Bradi2g43537.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.13","GWHPAOSJ028537","sp|Q9FPW3|DBBT_TAXCU"
"0.13","Mdomestica_v1.0||MDP0000419297","sp|Q9FPW3|DBBT_TAXCU"
"0.13","Osativa_v7.0||LOC_Os10g18410.1","sp|Q8LL69|DBNBT_TAXCA"
"0.13","Osativa_v7.0||LOC_Os10g18410.1","sp|Q9FPW3|DBBT_TAXCU"
"0.13","Osativa_v7.0||LOC_Os10g18410.1","sp|Q9M6E2|DBAT_TAXCU"
"0.13","Osativa_v7.0||LOC_Os10g18410.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.13","Osativa_v7.0||LOC_Os11g42380.1","sp|Q9M6F0|T5AT_TAXCU"
"0.13","Osativa_v7.0||LOC_Os12g37790.1","sp|Q9FPW3|DBBT_TAXCU"
"0.13","Spolyrhiza_v2||Spipo0G0166000","sp|Q9M6E2|DBAT_TAXCU"
"0.13","Spolyrhiza_v2||Spipo0G0166000","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.13","Spolyrhiza_v2||Spipo6G0051300","sp|Q9M6E2|DBAT_TAXCU"
"0.13","Spolyrhiza_v2||Spipo6G0051700","sp|Q9FPW3|DBBT_TAXCU"
"0.13","Spolyrhiza_v2||Spipo6G0051700","sp|Q9M6E2|DBAT_TAXCU"
"0.13","Zmays_RefGen_V4||Zm00001d006261_T001","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.13","Zmays_RefGen_V4||Zm00001d030540_T001","sp|Q8LL69|DBNBT_TAXCA"
"0.13","sp|Q8LL69|DBNBT_TAXCA","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23"
"0.13","sp|Q8LL69|DBNBT_TAXCA","Osativa_v7.0||LOC_Os10g18410.1"
"0.13","sp|Q8LL69|DBNBT_TAXCA","Zmays_RefGen_V4||Zm00001d030540_T001"
"0.13","sp|Q9FPW3|DBBT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.213"
"0.13","sp|Q9FPW3|DBBT_TAXCU","Bdistachyon_v3.1||Bradi2g43537.1"
"0.13","sp|Q9FPW3|DBBT_TAXCU","GWHPAOSJ028537"
"0.13","sp|Q9FPW3|DBBT_TAXCU","Mdomestica_v1.0||MDP0000419297"
"0.13","sp|Q9FPW3|DBBT_TAXCU","Osativa_v7.0||LOC_Os10g18410.1"
"0.13","sp|Q9FPW3|DBBT_TAXCU","Osativa_v7.0||LOC_Os12g37790.1"
"0.13","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo6G0051700"
"0.13","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23"
"0.13","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os10g18410.1"
"0.13","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo0G0166000"
"0.13","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo6G0051300"
"0.13","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo6G0051700"
"0.13","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.23"
"0.13","sp|Q9M6F0|T5AT_TAXCU","Osativa_v7.0||LOC_Os11g42380.1"
"0.14","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.412","sp|Q9M6E2|DBAT_TAXCU"
"0.14","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.213","sp|Q9M6F0|T5AT_TAXCU"
"0.14","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.213","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.14","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28","sp|Q8LL69|DBNBT_TAXCA"
"0.14","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28","sp|Q9M6E2|DBAT_TAXCU"
"0.14","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.14","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00727.2","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.14","Bdistachyon_v3.1||Bradi2g43537.1","sp|Q9M6E2|DBAT_TAXCU"
"0.14","GWHPAOSJ022736","sp|Q9FPW3|DBBT_TAXCU"
"0.14","GWHPAOSJ022736","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.14","GWHPAOSJ028215","sp|Q9FPW3|DBBT_TAXCU"
"0.14","GWHPAOSJ028537","sp|Q9M6F0|T5AT_TAXCU"
"0.14","GWHPAOSJ028537","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.14","Mdomestica_v1.0||MDP0000303816","sp|Q9FPW3|DBBT_TAXCU"
"0.14","PWA54832.1","sp|Q9M6E2|DBAT_TAXCU"
"0.14","Slycopersicum_ITAG3.2||Solyc08g005755.1.1","sp|Q9M6E2|DBAT_TAXCU"
"0.14","Slycopersicum_ITAG3.2||Solyc08g005755.1.1","sp|Q9M6F0|T5AT_TAXCU"
"0.14","Smoellendorffii_v1.0||414046","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.14","Smoellendorffii_v1.0||426708","sp|Q8LL69|DBNBT_TAXCA"
"0.14","Smoellendorffii_v1.0||426708","sp|Q9FPW3|DBBT_TAXCU"
"0.14","Smoellendorffii_v1.0||426708","sp|Q9M6F0|T5AT_TAXCU"
"0.14","Spolyrhiza_v2||Spipo0G0166000","sp|Q9FPW3|DBBT_TAXCU"
"0.14","Spolyrhiza_v2||Spipo30G0014600","sp|Q9FPW3|DBBT_TAXCU"
"0.14","Spolyrhiza_v2||Spipo30G0014600","sp|Q9M6E2|DBAT_TAXCU"
"0.14","Spolyrhiza_v2||Spipo6G0051300","sp|Q8LL69|DBNBT_TAXCA"
"0.14","Spolyrhiza_v2||Spipo6G0051300","sp|Q9M6F0|T5AT_TAXCU"
"0.14","Spolyrhiza_v2||Spipo6G0051700","sp|Q9M6F0|T5AT_TAXCU"
"0.14","Taxus_chinensis||evm2.model.Chr01.618","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.14","Taxus_chinensis||evm2.model.Chr12.940","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.14","Zmays_RefGen_V4||Zm00001d006261_T001","sp|Q8LL69|DBNBT_TAXCA"
"0.14","Zmays_RefGen_V4||Zm00001d006261_T001","sp|Q9FPW3|DBBT_TAXCU"
"0.14","Zmays_RefGen_V4||Zm00001d006261_T001","sp|Q9M6E2|DBAT_TAXCU"
"0.14","Zmays_RefGen_V4||Zm00001d006261_T001","sp|Q9M6F0|T5AT_TAXCU"
"0.14","Zmays_RefGen_V4||Zm00001d020330_T001","sp|Q8LL69|DBNBT_TAXCA"
"0.14","Zmays_RefGen_V4||Zm00001d020330_T001","sp|Q9FPW3|DBBT_TAXCU"
"0.14","Zmays_RefGen_V4||Zm00001d030540_T001","sp|Q9M6F0|T5AT_TAXCU"
"0.14","Zmays_RefGen_V4||Zm00001d037490_T001","sp|Q9FPW3|DBBT_TAXCU"
"0.14","Zmays_RefGen_V4||Zm00001d037490_T001","sp|Q9M6E2|DBAT_TAXCU"
"0.14","sp|Q8LL69|DBNBT_TAXCA","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28"
"0.14","sp|Q8LL69|DBNBT_TAXCA","Smoellendorffii_v1.0||426708"
"0.14","sp|Q8LL69|DBNBT_TAXCA","Spolyrhiza_v2||Spipo6G0051300"
"0.14","sp|Q8LL69|DBNBT_TAXCA","Zmays_RefGen_V4||Zm00001d006261_T001"
"0.14","sp|Q8LL69|DBNBT_TAXCA","Zmays_RefGen_V4||Zm00001d020330_T001"
"0.14","sp|Q9FPW3|DBBT_TAXCU","GWHPAOSJ022736"
"0.14","sp|Q9FPW3|DBBT_TAXCU","GWHPAOSJ028215"
"0.14","sp|Q9FPW3|DBBT_TAXCU","Mdomestica_v1.0||MDP0000303816"
"0.14","sp|Q9FPW3|DBBT_TAXCU","Smoellendorffii_v1.0||426708"
"0.14","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo0G0166000"
"0.14","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo30G0014600"
"0.14","sp|Q9FPW3|DBBT_TAXCU","Zmays_RefGen_V4||Zm00001d006261_T001"
"0.14","sp|Q9FPW3|DBBT_TAXCU","Zmays_RefGen_V4||Zm00001d020330_T001"
"0.14","sp|Q9FPW3|DBBT_TAXCU","Zmays_RefGen_V4||Zm00001d037490_T001"
"0.14","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.412"
"0.14","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28"
"0.14","sp|Q9M6E2|DBAT_TAXCU","Bdistachyon_v3.1||Bradi2g43537.1"
"0.14","sp|Q9M6E2|DBAT_TAXCU","PWA54832.1"
"0.14","sp|Q9M6E2|DBAT_TAXCU","Slycopersicum_ITAG3.2||Solyc08g005755.1.1"
"0.14","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo30G0014600"
"0.14","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d006261_T001"
"0.14","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d037490_T001"
"0.14","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.213"
"0.14","sp|Q9M6F0|T5AT_TAXCU","GWHPAOSJ028537"
"0.14","sp|Q9M6F0|T5AT_TAXCU","Slycopersicum_ITAG3.2||Solyc08g005755.1.1"
"0.14","sp|Q9M6F0|T5AT_TAXCU","Smoellendorffii_v1.0||426708"
"0.14","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo6G0051300"
"0.14","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo6G0051700"
"0.14","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d006261_T001"
"0.14","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d030540_T001"
"0.15","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.339","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.412","sp|Q9FPW3|DBBT_TAXCU"
"0.15","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.214","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.27","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28","sp|Q9M6F0|T5AT_TAXCU"
"0.15","Bdistachyon_v3.1||Bradi4g24210.2","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","GWHPAOSJ022736","sp|Q9M6F0|T5AT_TAXCU"
"0.15","Mdomestica_v1.0||MDP0000226756","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","Mdomestica_v1.0||MDP0000619822","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","Osativa_v7.0||LOC_Os04g56900.1","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Osativa_v7.0||LOC_Os08g24210.1","sp|Q8LL69|DBNBT_TAXCA"
"0.15","Osativa_v7.0||LOC_Os10g18410.1","sp|Q9M6F0|T5AT_TAXCU"
"0.15","Osativa_v7.0||LOC_Os10g18430.1","sp|Q9FPW3|DBBT_TAXCU"
"0.15","Osativa_v7.0||LOC_Os10g18430.1","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Osativa_v7.0||LOC_Os10g18430.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","Osativa_v7.0||LOC_Os12g37790.1","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Osativa_v7.0||LOC_Os12g37790.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","PWA21316.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","PWA54832.1","sp|Q8LL69|DBNBT_TAXCA"
"0.15","Ptrichocarpa_v4.1||Potri.001G447832.1","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Ptrichocarpa_v4.1||Potri.001G447832.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","Smoellendorffii_v1.0||414046","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Spolyrhiza_v2||Spipo0G0166000","sp|Q9M6F0|T5AT_TAXCU"
"0.15","Spolyrhiza_v2||Spipo12G0047800","sp|Q8LL69|DBNBT_TAXCA"
"0.15","Spolyrhiza_v2||Spipo12G0047800","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Spolyrhiza_v2||Spipo12G0047800","sp|Q9M6F0|T5AT_TAXCU"
"0.15","Spolyrhiza_v2||Spipo21G0037400","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","Spolyrhiza_v2||Spipo30G0014600","sp|Q9M6F0|T5AT_TAXCU"
"0.15","Spolyrhiza_v2||Spipo6G0051700","sp|Q8LL69|DBNBT_TAXCA"
"0.15","Taxus_chinensis||evm2.model.Chr01.618","sp|Q9FPW3|DBBT_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr01.618","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr12.940","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Zmays_RefGen_V4||Zm00001d020330_T001","sp|Q9M6E2|DBAT_TAXCU"
"0.15","Zmays_RefGen_V4||Zm00001d020330_T001","sp|Q9M6F0|T5AT_TAXCU"
"0.15","Zmays_RefGen_V4||Zm00001d020330_T001","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","Zmays_RefGen_V4||Zm00001d037490_T001","sp|Q9M6F0|T5AT_TAXCU"
"0.15","Zmays_RefGen_V4||Zm00001d037490_T001","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.15","sp|Q8LL69|DBNBT_TAXCA","Osativa_v7.0||LOC_Os08g24210.1"
"0.15","sp|Q8LL69|DBNBT_TAXCA","PWA54832.1"
"0.15","sp|Q8LL69|DBNBT_TAXCA","Spolyrhiza_v2||Spipo12G0047800"
"0.15","sp|Q8LL69|DBNBT_TAXCA","Spolyrhiza_v2||Spipo6G0051700"
"0.15","sp|Q9FPW3|DBBT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.412"
"0.15","sp|Q9FPW3|DBBT_TAXCU","Osativa_v7.0||LOC_Os10g18430.1"
"0.15","sp|Q9FPW3|DBBT_TAXCU","Taxus_chinensis||evm2.model.Chr01.618"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.214"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os04g56900.1"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os10g18430.1"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os12g37790.1"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Ptrichocarpa_v4.1||Potri.001G447832.1"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Smoellendorffii_v1.0||414046"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo12G0047800"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Taxus_chinensis||evm2.model.Chr01.618"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Taxus_chinensis||evm2.model.Chr12.940"
"0.15","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d020330_T001"
"0.15","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.28"
"0.15","sp|Q9M6F0|T5AT_TAXCU","GWHPAOSJ022736"
"0.15","sp|Q9M6F0|T5AT_TAXCU","Osativa_v7.0||LOC_Os10g18410.1"
"0.15","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo0G0166000"
"0.15","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo12G0047800"
"0.15","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo30G0014600"
"0.15","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d020330_T001"
"0.15","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d037490_T001"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.339","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.412","sp|Q9M6F0|T5AT_TAXCU"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.213","sp|Q9M6E2|DBAT_TAXCU"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.214","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.214","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00045.99","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00727.2","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Bdistachyon_v3.1||Bradi2g43537.1","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Bdistachyon_v3.1||Bradi2g43537.1","sp|Q9M6F0|T5AT_TAXCU"
"0.16","GWHPAOSJ021735","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","GWHPAOSJ028215","sp|Q9M6F0|T5AT_TAXCU"
"0.16","GWHPAOSJ028215","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","GWHPAOSJ028537","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Mdomestica_v1.0||MDP0000160216","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Mdomestica_v1.0||MDP0000160216","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","Mdomestica_v1.0||MDP0000226756","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Mdomestica_v1.0||MDP0000300836","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","Mdomestica_v1.0||MDP0000303816","sp|Q9M6F0|T5AT_TAXCU"
"0.16","Mdomestica_v1.0||MDP0000419297","sp|Q9M6F0|T5AT_TAXCU"
"0.16","Mdomestica_v1.0||MDP0000619822","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Mdomestica_v1.0||MDP0000619822","sp|Q9M6E2|DBAT_TAXCU"
"0.16","Mdomestica_v1.0||MDP0000639570","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Osativa_v7.0||LOC_Os04g56900.1","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Osativa_v7.0||LOC_Os04g56900.1","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Osativa_v7.0||LOC_Os10g18430.1","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Osativa_v7.0||LOC_Os12g37790.1","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Osativa_v7.0||LOC_Os12g37790.1","sp|Q9M6F0|T5AT_TAXCU"
"0.16","PWA21316.1","sp|Q9FPW3|DBBT_TAXCU"
"0.16","PWA21316.1","sp|Q9M6E2|DBAT_TAXCU"
"0.16","Ptrichocarpa_v4.1||Potri.001G447832.1","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Sbicolor_v3.1.1||Sobic.010G103100.1","sp|Q8LL69|DBNBT_TAXCA"
"0.16","Sbicolor_v3.1.1||Sobic.010G103100.1","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Sbicolor_v3.1.1||Sobic.010G103100.1","sp|Q9M6F0|T5AT_TAXCU"
"0.16","Sbicolor_v3.1.1||Sobic.010G103100.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","Smoellendorffii_v1.0||414046","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Smoellendorffii_v1.0||419914","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","Sphagnum_fallax||Sphfalx13G018600.1","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Spolyrhiza_v2||Spipo30G0014600","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","Taxus_chinensis||evm2.model.Chr01.618","sp|Q9M6F0|T5AT_TAXCU"
"0.16","Taxus_chinensis||evm2.model.Chr02.3587","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","Taxus_chinensis||evm2.model.Chr12.940","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Zmays_RefGen_V4||Zm00001d024864_T001","sp|Q9FPW3|DBBT_TAXCU"
"0.16","Zmays_RefGen_V4||Zm00001d024864_T001","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.16","sp|Q8LL69|DBNBT_TAXCA","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.339"
"0.16","sp|Q8LL69|DBNBT_TAXCA","Bdistachyon_v3.1||Bradi2g43537.1"
"0.16","sp|Q8LL69|DBNBT_TAXCA","GWHPAOSJ028537"
"0.16","sp|Q8LL69|DBNBT_TAXCA","Mdomestica_v1.0||MDP0000639570"
"0.16","sp|Q8LL69|DBNBT_TAXCA","Osativa_v7.0||LOC_Os04g56900.1"
"0.16","sp|Q8LL69|DBNBT_TAXCA","Osativa_v7.0||LOC_Os10g18430.1"
"0.16","sp|Q8LL69|DBNBT_TAXCA","Osativa_v7.0||LOC_Os12g37790.1"
"0.16","sp|Q8LL69|DBNBT_TAXCA","Ptrichocarpa_v4.1||Potri.001G447832.1"
