"PSI","Species A","Species B"
"0.13","Taxus_chinensis||evm2.model.Chr09.1488","sp|Q8W4T9|T13H_TAXCU"
"0.13","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr09.1488"
"0.14","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00119.8","sp|Q9AXM6|T10H_TAXCU"
"0.14","Osativa_v7.0||LOC_Os10g19110.1","sp|Q84KI1|T14H_TAXCU"
"0.14","Osativa_v7.0||LOC_Os10g19110.1","sp|Q8W4T9|T13H_TAXCU"
"0.14","Taxus_chinensis||evm2.model.Chr01.537","sp|Q6WG30|T5H_TAXCU"
"0.14","Taxus_chinensis||evm2.model.Chr03.3086","sp|Q6WG30|T5H_TAXCU"
"0.14","Taxus_chinensis||evm2.model.Chr03.3086","sp|Q84KI1|T14H_TAXCU"
"0.14","Taxus_chinensis||evm2.model.Chr09.1488","sp|Q9AXM6|T10H_TAXCU"
"0.14","Taxus_chinensis||evm2.model.unplaceContig_1518.2","sp|Q6WG30|T5H_TAXCU"
"0.14","Taxus_chinensis||evm2.model.unplaceContig_1518.2","sp|Q8W4T9|T13H_TAXCU"
"0.14","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr01.537"
"0.14","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr03.3086"
"0.14","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.unplaceContig_1518.2"
"0.14","sp|Q84KI1|T14H_TAXCU","Osativa_v7.0||LOC_Os10g19110.1"
"0.14","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr03.3086"
"0.14","sp|Q8W4T9|T13H_TAXCU","Osativa_v7.0||LOC_Os10g19110.1"
"0.14","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.unplaceContig_1518.2"
"0.15","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.431","sp|Q8W4T9|T13H_TAXCU"
"0.15","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00119.8","sp|Q6WG30|T5H_TAXCU"
"0.15","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00119.8","sp|Q84KI1|T14H_TAXCU"
"0.15","PWA55894.1","sp|Q8W4T9|T13H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr03.21","sp|Q6WG30|T5H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr03.21","sp|Q84KI1|T14H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr03.3086","sp|Q9AXM6|T10H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr05.941","sp|Q6WG30|T5H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr05.941","sp|Q84KI1|T14H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr05.943","sp|Q84KI1|T14H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr06.3293","sp|Q6WG30|T5H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr09.1488","sp|Q6WG30|T5H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.Chr09.1488","sp|Q84KI1|T14H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.unplaceContig_1518.2","sp|Q84KI1|T14H_TAXCU"
"0.15","Taxus_chinensis||evm2.model.unplaceContig_1518.2","sp|Q9AXM6|T10H_TAXCU"
"0.15","sp|Q6WG30|T5H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00119.8"
"0.15","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr03.21"
"0.15","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr05.941"
"0.15","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr06.3293"
"0.15","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr09.1488"
"0.15","sp|Q84KI1|T14H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00119.8"
"0.15","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr03.21"
"0.15","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr05.941"
"0.15","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr05.943"
"0.15","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr09.1488"
"0.15","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.unplaceContig_1518.2"
"0.15","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.431"
"0.15","sp|Q8W4T9|T13H_TAXCU","PWA55894.1"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.431","sp|Q6WG30|T5H_TAXCU"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.431","sp|Q84KI1|T14H_TAXCU"
"0.16","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00153.32","sp|Q9AXM6|T10H_TAXCU"
"0.16","Csinensis_v1.1||orange1.1g021280m","sp|Q84KI1|T14H_TAXCU"
"0.16","Osativa_v7.0||LOC_Os10g19110.1","sp|Q6WG30|T5H_TAXCU"
"0.16","Osativa_v7.0||LOC_Os10g19110.1","sp|Q9AXM6|T10H_TAXCU"
"0.16","PWA25522.1","sp|Q6WG30|T5H_TAXCU"
"0.16","PWA25522.1","sp|Q84KI1|T14H_TAXCU"
"0.16","PWA55894.1","sp|Q84KI1|T14H_TAXCU"
"0.16","PWA55894.1","sp|Q9AXM6|T10H_TAXCU"
"0.16","Taxus_chinensis||evm2.model.Chr02.2601","sp|Q9AXM6|T10H_TAXCU"
"0.16","Taxus_chinensis||evm2.model.Chr05.941","sp|Q8W4T9|T13H_TAXCU"
"0.16","Taxus_chinensis||evm2.model.Chr05.941","sp|Q9AXM6|T10H_TAXCU"
"0.16","Taxus_chinensis||evm2.model.Chr05.943","sp|Q6WG30|T5H_TAXCU"
"0.16","Taxus_chinensis||evm2.model.Chr05.943","sp|Q9AXM6|T10H_TAXCU"
"0.16","sp|Q6WG30|T5H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.431"
"0.16","sp|Q6WG30|T5H_TAXCU","Osativa_v7.0||LOC_Os10g19110.1"
"0.16","sp|Q6WG30|T5H_TAXCU","PWA25522.1"
"0.16","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr05.943"
"0.16","sp|Q84KI1|T14H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.431"
"0.16","sp|Q84KI1|T14H_TAXCU","Csinensis_v1.1||orange1.1g021280m"
"0.16","sp|Q84KI1|T14H_TAXCU","PWA25522.1"
"0.16","sp|Q84KI1|T14H_TAXCU","PWA55894.1"
"0.16","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr05.941"
"0.17","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.431","sp|Q9AXM6|T10H_TAXCU"
"0.17","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00119.8","sp|Q8W4T9|T13H_TAXCU"
"0.17","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00153.32","sp|Q84KI1|T14H_TAXCU"
"0.17","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00153.32","sp|Q8W4T9|T13H_TAXCU"
"0.17","Csinensis_v1.1||orange1.1g021280m","sp|Q9AXM6|T10H_TAXCU"
"0.17","PWA25522.1","sp|Q9AXM6|T10H_TAXCU"
"0.17","PWA55894.1","sp|Q6WG30|T5H_TAXCU"
"0.17","Slycopersicum_ITAG3.2||Solyc08g007865.1.1","sp|Q6WG30|T5H_TAXCU"
"0.17","Slycopersicum_ITAG3.2||Solyc08g007865.1.1","sp|Q84KI1|T14H_TAXCU"
"0.17","Slycopersicum_ITAG3.2||Solyc08g007865.1.1","sp|Q8W4T9|T13H_TAXCU"
"0.17","Taxus_chinensis||evm2.model.Chr02.2601","sp|Q84KI1|T14H_TAXCU"
"0.17","Taxus_chinensis||evm2.model.Chr05.943","sp|Q8W4T9|T13H_TAXCU"
"0.17","sp|Q6WG30|T5H_TAXCU","PWA55894.1"
"0.17","sp|Q6WG30|T5H_TAXCU","Slycopersicum_ITAG3.2||Solyc08g007865.1.1"
"0.17","sp|Q84KI1|T14H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00153.32"
"0.17","sp|Q84KI1|T14H_TAXCU","Slycopersicum_ITAG3.2||Solyc08g007865.1.1"
"0.17","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr02.2601"
"0.17","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00119.8"
"0.17","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00153.32"
"0.17","sp|Q8W4T9|T13H_TAXCU","Slycopersicum_ITAG3.2||Solyc08g007865.1.1"
"0.17","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr05.943"
"0.18","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00001.520","sp|Q6WG30|T5H_TAXCU"
"0.18","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00001.520","sp|Q84KI1|T14H_TAXCU"
"0.18","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00001.520","sp|Q8W4T9|T13H_TAXCU"
"0.18","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00001.520","sp|Q9AXM6|T10H_TAXCU"
"0.18","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00049.138","sp|Q84KI1|T14H_TAXCU"
"0.18","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00064.104","sp|Q9AXM6|T10H_TAXCU"
"0.18","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00153.32","sp|Q6WG30|T5H_TAXCU"
"0.18","Csinensis_v1.1||orange1.1g021280m","sp|Q6WG30|T5H_TAXCU"
"0.18","Csinensis_v1.1||orange1.1g021280m","sp|Q8W4T9|T13H_TAXCU"
"0.18","Gmax_Wm82.a4.v1||Glyma.16G110700.1","sp|Q8W4T9|T13H_TAXCU"
"0.18","Mdomestica_v1.0||MDP0000567873","sp|Q84KI1|T14H_TAXCU"
"0.18","Mdomestica_v1.0||MDP0000567873","sp|Q8W4T9|T13H_TAXCU"
"0.18","Osativa_v7.0||LOC_Os10g19140.1","sp|Q8W4T9|T13H_TAXCU"
"0.18","Osativa_v7.0||LOC_Os10g23160.1","sp|Q9AXM6|T10H_TAXCU"
"0.18","PWA25522.1","sp|Q8W4T9|T13H_TAXCU"
"0.18","PWA96012.1","sp|Q6WG30|T5H_TAXCU"
"0.18","Slycopersicum_ITAG3.2||Solyc08g007865.1.1","sp|Q9AXM6|T10H_TAXCU"
"0.18","Taxus_chinensis||evm2.model.Chr02.2601","sp|Q6WG30|T5H_TAXCU"
"0.18","Taxus_chinensis||evm2.model.Chr02.2601","sp|Q8W4T9|T13H_TAXCU"
"0.18","Taxus_chinensis||evm2.model.Chr03.21","sp|Q8W4T9|T13H_TAXCU"
"0.18","Taxus_chinensis||evm2.model.Chr03.21","sp|Q9AXM6|T10H_TAXCU"
"0.18","Taxus_chinensis||evm2.model.Chr06.3293","sp|Q9AXM6|T10H_TAXCU"
"0.18","sp|Q6WG30|T5H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00001.520"
"0.18","sp|Q6WG30|T5H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00153.32"
"0.18","sp|Q6WG30|T5H_TAXCU","Csinensis_v1.1||orange1.1g021280m"
"0.18","sp|Q6WG30|T5H_TAXCU","PWA96012.1"
"0.18","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr02.2601"
"0.18","sp|Q84KI1|T14H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00001.520"
"0.18","sp|Q84KI1|T14H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00049.138"
"0.18","sp|Q84KI1|T14H_TAXCU","Mdomestica_v1.0||MDP0000567873"
"0.18","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00001.520"
"0.18","sp|Q8W4T9|T13H_TAXCU","Csinensis_v1.1||orange1.1g021280m"
"0.18","sp|Q8W4T9|T13H_TAXCU","Gmax_Wm82.a4.v1||Glyma.16G110700.1"
"0.18","sp|Q8W4T9|T13H_TAXCU","Mdomestica_v1.0||MDP0000567873"
"0.18","sp|Q8W4T9|T13H_TAXCU","Osativa_v7.0||LOC_Os10g19140.1"
"0.18","sp|Q8W4T9|T13H_TAXCU","PWA25522.1"
"0.18","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr02.2601"
"0.18","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr03.21"
"0.19","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00049.138","sp|Q6WG30|T5H_TAXCU"
"0.19","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00064.104","sp|Q6WG30|T5H_TAXCU"
"0.19","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00064.104","sp|Q84KI1|T14H_TAXCU"
"0.19","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00064.104","sp|Q8W4T9|T13H_TAXCU"
"0.19","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00171.20","sp|Q9AXM6|T10H_TAXCU"
"0.19","Creinhardtii_v5.6||Cre08.g384000.t1.1","sp|Q6WG30|T5H_TAXCU"
"0.19","Gmax_Wm82.a4.v1||Glyma.09G144300.2","sp|Q6WG30|T5H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000276663","sp|Q6WG30|T5H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000276663","sp|Q84KI1|T14H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000276663","sp|Q9AXM6|T10H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000292715","sp|Q6WG30|T5H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000292715","sp|Q84KI1|T14H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000292715","sp|Q9AXM6|T10H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000302143","sp|Q84KI1|T14H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000567873","sp|Q6WG30|T5H_TAXCU"
"0.19","Mdomestica_v1.0||MDP0000567873","sp|Q9AXM6|T10H_TAXCU"
"0.19","Osativa_v7.0||LOC_Os07g33600.1","sp|Q8W4T9|T13H_TAXCU"
"0.19","Osativa_v7.0||LOC_Os10g19140.1","sp|Q9AXM6|T10H_TAXCU"
"0.19","Osativa_v7.0||LOC_Os10g23160.1","sp|Q84KI1|T14H_TAXCU"
"0.19","Osativa_v7.0||LOC_Os12g18820.1","sp|Q8W4T9|T13H_TAXCU"
"0.19","PWA48203.1","sp|Q84KI1|T14H_TAXCU"
"0.19","PWA89633.1","sp|Q9AXM6|T10H_TAXCU"
"0.19","PWA96012.1","sp|Q84KI1|T14H_TAXCU"
"0.19","PWA96012.1","sp|Q8W4T9|T13H_TAXCU"
"0.19","Sphagnum_fallax||Sphfalx04G089300.1","sp|Q8W4T9|T13H_TAXCU"
"0.19","Sphagnum_fallax||Sphfalx04G089300.1","sp|Q9AXM6|T10H_TAXCU"
"0.19","Sphagnum_fallax||Sphfalx17G018300.1","sp|Q8W4T9|T13H_TAXCU"
"0.19","Sphagnum_fallax||Sphfalx18G067100.1","sp|Q6WG30|T5H_TAXCU"
"0.19","Sphagnum_fallax||Sphfalx18G067100.1","sp|Q84KI1|T14H_TAXCU"
"0.19","Sphagnum_fallax||Sphfalx18G067100.1","sp|Q8W4T9|T13H_TAXCU"
"0.19","Taxus_chinensis||evm2.model.Chr06.3293","sp|Q84KI1|T14H_TAXCU"
"0.19","Taxus_chinensis||evm2.model.Chr10.3120","sp|Q84KI1|T14H_TAXCU"
"0.19","Taxus_chinensis||evm2.model.Chr10.3120","sp|Q8W4T9|T13H_TAXCU"
"0.19","Taxus_chinensis||evm2.model.Chr10.3120","sp|Q9AXM6|T10H_TAXCU"
"0.19","Zmays_RefGen_V4||Zm00001d028694_T001","sp|Q84KI1|T14H_TAXCU"
"0.19","sp|Q6WG30|T5H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00049.138"
"0.19","sp|Q6WG30|T5H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00064.104"
"0.19","sp|Q6WG30|T5H_TAXCU","Creinhardtii_v5.6||Cre08.g384000.t1.1"
"0.19","sp|Q6WG30|T5H_TAXCU","Gmax_Wm82.a4.v1||Glyma.09G144300.2"
"0.19","sp|Q6WG30|T5H_TAXCU","Mdomestica_v1.0||MDP0000276663"
"0.19","sp|Q6WG30|T5H_TAXCU","Mdomestica_v1.0||MDP0000292715"
"0.19","sp|Q6WG30|T5H_TAXCU","Mdomestica_v1.0||MDP0000567873"
"0.19","sp|Q6WG30|T5H_TAXCU","Sphagnum_fallax||Sphfalx18G067100.1"
"0.19","sp|Q84KI1|T14H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00064.104"
"0.19","sp|Q84KI1|T14H_TAXCU","Mdomestica_v1.0||MDP0000276663"
"0.19","sp|Q84KI1|T14H_TAXCU","Mdomestica_v1.0||MDP0000292715"
"0.19","sp|Q84KI1|T14H_TAXCU","Mdomestica_v1.0||MDP0000302143"
"0.19","sp|Q84KI1|T14H_TAXCU","Osativa_v7.0||LOC_Os10g23160.1"
"0.19","sp|Q84KI1|T14H_TAXCU","PWA48203.1"
"0.19","sp|Q84KI1|T14H_TAXCU","PWA96012.1"
"0.19","sp|Q84KI1|T14H_TAXCU","Sphagnum_fallax||Sphfalx18G067100.1"
"0.19","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr06.3293"
"0.19","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr10.3120"
"0.19","sp|Q84KI1|T14H_TAXCU","Zmays_RefGen_V4||Zm00001d028694_T001"
"0.19","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00064.104"
"0.19","sp|Q8W4T9|T13H_TAXCU","Osativa_v7.0||LOC_Os07g33600.1"
"0.19","sp|Q8W4T9|T13H_TAXCU","Osativa_v7.0||LOC_Os12g18820.1"
"0.19","sp|Q8W4T9|T13H_TAXCU","PWA96012.1"
"0.19","sp|Q8W4T9|T13H_TAXCU","Sphagnum_fallax||Sphfalx04G089300.1"
"0.19","sp|Q8W4T9|T13H_TAXCU","Sphagnum_fallax||Sphfalx17G018300.1"
"0.19","sp|Q8W4T9|T13H_TAXCU","Sphagnum_fallax||Sphfalx18G067100.1"
"0.19","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr10.3120"
"0.20","Bdistachyon_v3.1||Bradi3g35840.1","sp|Q6WG30|T5H_TAXCU"
"0.20","Bdistachyon_v3.1||Bradi3g35840.1","sp|Q84KI1|T14H_TAXCU"
"0.20","Bdistachyon_v3.1||Bradi3g35840.1","sp|Q8W4T9|T13H_TAXCU"
"0.20","Bdistachyon_v3.1||Bradi5g03889.1","sp|Q8W4T9|T13H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre05.g234100.t1.2","sp|Q84KI1|T14H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre05.g234100.t1.2","sp|Q8W4T9|T13H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre08.g384000.t1.1","sp|Q84KI1|T14H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre08.g384000.t1.1","sp|Q8W4T9|T13H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre08.g384000.t1.1","sp|Q9AXM6|T10H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre10.g426700.t1.1","sp|Q8W4T9|T13H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre10.g427350.t1.1","sp|Q84KI1|T14H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre11.g467627.t1.1","sp|Q6WG30|T5H_TAXCU"
"0.20","Creinhardtii_v5.6||Cre11.g467627.t1.1","sp|Q84KI1|T14H_TAXCU"
"0.20","Gmax_Wm82.a4.v1||Glyma.09G144300.2","sp|Q84KI1|T14H_TAXCU"
"0.20","Gmax_Wm82.a4.v1||Glyma.09G144300.2","sp|Q8W4T9|T13H_TAXCU"
"0.20","Gmax_Wm82.a4.v1||Glyma.09G144300.2","sp|Q9AXM6|T10H_TAXCU"
"0.20","Gmax_Wm82.a4.v1||Glyma.16G110700.1","sp|Q6WG30|T5H_TAXCU"
"0.20","Gmax_Wm82.a4.v1||Glyma.16G110700.1","sp|Q9AXM6|T10H_TAXCU"
"0.20","Mdomestica_v1.0||MDP0000123988","sp|Q9AXM6|T10H_TAXCU"
"0.20","Mdomestica_v1.0||MDP0000239588","sp|Q84KI1|T14H_TAXCU"
"0.20","Olucimarinus_v2.0||42499","sp|Q6WG30|T5H_TAXCU"
"0.20","Olucimarinus_v2.0||42499","sp|Q84KI1|T14H_TAXCU"
"0.20","Olucimarinus_v2.0||42499","sp|Q8W4T9|T13H_TAXCU"
"0.20","Osativa_v7.0||LOC_Os07g33600.1","sp|Q84KI1|T14H_TAXCU"
"0.20","Osativa_v7.0||LOC_Os10g10040.1","sp|Q8W4T9|T13H_TAXCU"
"0.20","Osativa_v7.0||LOC_Os10g23160.1","sp|Q6WG30|T5H_TAXCU"
"0.20","Osativa_v7.0||LOC_Os10g23160.1","sp|Q8W4T9|T13H_TAXCU"
"0.20","Osativa_v7.0||LOC_Os12g18820.1","sp|Q6WG30|T5H_TAXCU"
"0.20","Osativa_v7.0||LOC_Os12g18820.1","sp|Q84KI1|T14H_TAXCU"
"0.20","Osativa_v7.0||LOC_Os12g18820.1","sp|Q9AXM6|T10H_TAXCU"
"0.20","PWA34655.1","sp|Q8W4T9|T13H_TAXCU"
"0.20","PWA34655.1","sp|Q9AXM6|T10H_TAXCU"
"0.20","PWA48281.1","sp|Q6WG30|T5H_TAXCU"
"0.20","PWA48281.1","sp|Q9AXM6|T10H_TAXCU"
"0.20","PWA96012.1","sp|Q9AXM6|T10H_TAXCU"
"0.20","Slycopersicum_ITAG3.2||Solyc04g080650.3.1","sp|Q8W4T9|T13H_TAXCU"
"0.20","Smoellendorffii_v1.0||429772","sp|Q84KI1|T14H_TAXCU"
"0.20","Sphagnum_fallax||Sphfalx04G089300.1","sp|Q84KI1|T14H_TAXCU"
"0.20","Sphagnum_fallax||Sphfalx17G018300.1","sp|Q6WG30|T5H_TAXCU"
"0.20","Sphagnum_fallax||Sphfalx17G018300.1","sp|Q84KI1|T14H_TAXCU"
"0.20","Sphagnum_fallax||Sphfalx18G067100.1","sp|Q9AXM6|T10H_TAXCU"
"0.20","Taxus_chinensis||evm2.model.Chr06.3293","sp|Q8W4T9|T13H_TAXCU"
"0.20","Taxus_chinensis||evm2.model.Chr10.3120","sp|Q6WG30|T5H_TAXCU"
"0.20","sp|Q6WG30|T5H_TAXCU","Bdistachyon_v3.1||Bradi3g35840.1"
"0.20","sp|Q6WG30|T5H_TAXCU","Creinhardtii_v5.6||Cre11.g467627.t1.1"
"0.20","sp|Q6WG30|T5H_TAXCU","Gmax_Wm82.a4.v1||Glyma.16G110700.1"
"0.20","sp|Q6WG30|T5H_TAXCU","Olucimarinus_v2.0||42499"
"0.20","sp|Q6WG30|T5H_TAXCU","Osativa_v7.0||LOC_Os10g23160.1"
"0.20","sp|Q6WG30|T5H_TAXCU","Osativa_v7.0||LOC_Os12g18820.1"
"0.20","sp|Q6WG30|T5H_TAXCU","PWA48281.1"
"0.20","sp|Q6WG30|T5H_TAXCU","Sphagnum_fallax||Sphfalx17G018300.1"
"0.20","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr10.3120"
"0.20","sp|Q84KI1|T14H_TAXCU","Bdistachyon_v3.1||Bradi3g35840.1"
"0.20","sp|Q84KI1|T14H_TAXCU","Creinhardtii_v5.6||Cre05.g234100.t1.2"
"0.20","sp|Q84KI1|T14H_TAXCU","Creinhardtii_v5.6||Cre08.g384000.t1.1"
"0.20","sp|Q84KI1|T14H_TAXCU","Creinhardtii_v5.6||Cre10.g427350.t1.1"
"0.20","sp|Q84KI1|T14H_TAXCU","Creinhardtii_v5.6||Cre11.g467627.t1.1"
"0.20","sp|Q84KI1|T14H_TAXCU","Gmax_Wm82.a4.v1||Glyma.09G144300.2"
"0.20","sp|Q84KI1|T14H_TAXCU","Mdomestica_v1.0||MDP0000239588"
"0.20","sp|Q84KI1|T14H_TAXCU","Olucimarinus_v2.0||42499"
"0.20","sp|Q84KI1|T14H_TAXCU","Osativa_v7.0||LOC_Os07g33600.1"
"0.20","sp|Q84KI1|T14H_TAXCU","Osativa_v7.0||LOC_Os12g18820.1"
"0.20","sp|Q84KI1|T14H_TAXCU","Smoellendorffii_v1.0||429772"
